template_id,current_ctr,recommendations,priority
TPL_0001,0.042,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0002,,Template is well-optimized,LOW
TPL_0003,,Template is well-optimized,LOW
TPL_0004,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0005,,Template is well-optimized,LOW
TPL_0006,0.062,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0007,,Template is well-optimized,LOW
TPL_0008,,Template is well-optimized,LOW
TPL_0009,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0010,,Template is well-optimized,LOW
TPL_0011,0.162,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0012,,Template is well-optimized,LOW
TPL_0013,,Template is well-optimized,LOW
TPL_0014,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0015,,Template is well-optimized,LOW
TPL_0016,0.243,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0017,,Template is well-optimized,LOW
TPL_0018,,Template is well-optimized,LOW
TPL_0019,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0020,,Template is well-optimized,LOW
TPL_0021,0.106,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0022,,Template is well-optimized,LOW
TPL_0023,,Template is well-optimized,LOW
TPL_0024,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0025,,Template is well-optimized,LOW
TPL_0026,0.14,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0027,,Template is well-optimized,LOW
TPL_0028,,Template is well-optimized,LOW
TPL_0029,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0030,,Template is well-optimized,LOW
TPL_0031,0.1487,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0032,,Template is well-optimized,LOW
TPL_0033,,Template is well-optimized,LOW
TPL_0034,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0035,,Template is well-optimized,LOW
TPL_0036,0.176,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0037,,Template is well-optimized,LOW
TPL_0038,,Template is well-optimized,LOW
TPL_0039,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0040,,Template is well-optimized,LOW
TPL_0041,0.075,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0042,,Template is well-optimized,LOW
TPL_0043,,Template is well-optimized,LOW
TPL_0044,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0045,,Template is well-optimized,LOW
TPL_0046,0.075,"Add engagement keywords (streak, coins, etc.)",LOW
