user_id,lifecycle_stage,segment_id,segment_name,activeness,gamification_propensity,social_propensity,ai_tutor_propensity,leaderboard_propensity,churn_risk,rfm_score,rfm_segment,engagement_intensity,streak_consistency,feature_diversity
U0000,trial,2,Casual Solo Users,0.20933491956839187,0.2822311289245157,0.0,0.0,0.4878491064526056,0.6786543674079011,2.9,Needs Attention,0.3404255319148936,0.02127659574468085,0.0
U0001,inactive,2,Casual Solo Users,0.4003632012319764,0.5564462257849031,0.0,1.0,0.3976447276575623,0.7002076111757078,3.6000000000000005,Potential Loyalist,5.416666666666667,0.3333333333333333,0.5
U0002,paid,2,Casual Solo Users,0.29118264439240577,0.5744822979291917,0.0,1.0,0.6029467174048472,0.5529499878326417,1.9,Lost,0.11290322580645161,0.06451612903225806,0.5
U0003,paid,4,Engaged Socialites,0.2451024026205583,0.644622578490314,1.0,0.0,0.7071693949697148,0.5082577073638352,2.2,At Risk,0.2,0.0375,0.5
U0004,trial,3,Core Feature Fans,0.4073049102770865,0.2631930527722111,0.0,0.0,0.7890357494014246,0.36412769213162044,2.2,At Risk,0.2727272727272727,0.06818181818181818,0.0
U0005,trial,4,Engaged Socialites,0.269958024364303,0.9094856379425518,1.0,1.0,0.649935076144799,0.4805783768707799,2.7,Needs Attention,0.5421686746987951,0.03614457831325301,1.0
U0006,trial,1,Social Gamifiers,0.4141449112263025,0.7391449565798264,1.0,1.0,0.13202885171091247,0.7217258192216653,3.7,Potential Loyalist,8.75,0.125,1.0
U0007,churned,2,Casual Solo Users,0.4321456703707584,0.5818303273213092,0.0,1.0,0.3567366943625078,0.6556062147988215,2.9,Needs Attention,2.6666666666666665,0.047619047619047616,0.5
U0008,paid,3,Core Feature Fans,0.316206245310024,0.4585838343353374,0.0,1.0,0.5582093025001313,0.45708476345228344,2.0,At Risk,0.14814814814814814,0.04938271604938271,0.5
U0009,paid,5,Passive Explorers,0.25122204494463524,0.0036740146960587846,0.0,0.0,0.4257713929732123,0.4747986879268359,1.8000000000000003,Lost,0.22988505747126436,0.034482758620689655,0.0
U0010,trial,2,Casual Solo Users,0.26860807707617523,0.4772879091516366,0.0,1.0,0.4731680589643707,0.5026649409883375,2.4000000000000004,At Risk,0.5,0.0125,0.5
U0011,inactive,3,Core Feature Fans,0.4032015672073023,0.3607214428857715,0.0,1.0,0.3191484091779064,0.4644620383990228,1.4000000000000001,Lost,0.5142857142857142,0.014285714285714285,0.5
U0012,churned,3,Core Feature Fans,0.47433629322655596,0.47695390781563124,0.0,1.0,0.4428715108118859,0.41327056448959826,2.4000000000000004,At Risk,0.9027777777777778,0.013888888888888888,0.5
U0013,trial,1,Social Gamifiers,0.26890625632188153,0.8750835003340013,1.0,1.0,0.3649711407834395,0.7322732674834669,3.7,Potential Loyalist,1.2,0.08,1.0
U0014,trial,4,Engaged Socialites,0.29740348441966785,0.8259853039412158,1.0,1.0,0.5626894237914031,0.4683664199864972,2.4000000000000004,At Risk,0.4878048780487805,0.036585365853658534,1.0
U0015,trial,2,Casual Solo Users,0.21650726185876676,0.5945223780895124,0.0,1.0,0.6241103930707858,0.49562755777835693,3.1,Promising,0.3146067415730337,0.011235955056179775,0.5
U0016,trial,2,Casual Solo Users,0.3774175592551537,0.5691382765531062,0.0,1.0,0.3436701117590988,0.7224856346596737,4.4,Loyal,5.333333333333333,0.16666666666666666,0.5
U0017,paid,4,Engaged Socialites,0.18958202050736772,0.7895791583166333,1.0,1.0,0.24201361524547224,0.8224210004615369,2.9,Needs Attention,1.3333333333333333,0.13333333333333333,1.0
U0018,paid,1,Social Gamifiers,0.5175420339499194,0.884435537742151,1.0,1.0,0.5683306688282933,0.429900311544942,3.0,Promising,1.0169491525423728,0.06779661016949153,1.0
U0019,trial,2,Casual Solo Users,0.291076901474938,0.6519706078824316,0.0,1.0,0.47893690001726297,0.7147155612426968,4.0,Loyal,1.3846153846153846,0.07692307692307693,0.5
U0020,paid,5,Passive Explorers,0.43998504631823626,0.323313293253173,0.0,0.0,0.5169462520546712,0.6211153551877817,4.4,Loyal,3.1153846153846154,0.11538461538461539,0.0
U0021,trial,2,Casual Solo Users,0.3273749058501775,0.5454241816967268,0.0,1.0,0.48437549255815,0.5993197373409573,3.4000000000000004,Promising,1.0212765957446808,0.06382978723404255,0.5
U0022,trial,3,Core Feature Fans,0.3297890415383177,0.38009352037408145,0.0,1.0,0.22953172262127253,0.6659563623110519,1.3,Lost,0.0,0.0625,0.5
U0023,trial,1,Social Gamifiers,0.4276809515799512,0.906813627254509,1.0,1.0,0.3738548257563816,0.6965829184137314,3.2,Promising,4.4,0.3,1.0
U0024,paid,2,Casual Solo Users,0.2638755449615308,0.20908483633934535,0.0,0.0,0.3319312782869109,0.7735895666401027,2.5,Needs Attention,0.75,0.125,0.0
U0025,churned,5,Passive Explorers,0.24385719225093075,0.23947895791583165,0.0,0.0,0.5683179092266931,0.5515580250749734,3.1,Promising,0.5915492957746479,0.028169014084507043,0.0
U0026,trial,1,Social Gamifiers,0.3712641026339892,0.8186372745490983,1.0,1.0,0.2452290348487237,0.7091564320366278,3.8,Potential Loyalist,1.588235294117647,0.058823529411764705,1.0
U0027,paid,3,Core Feature Fans,0.3630640814158745,0.16733466933867736,0.0,0.0,0.4163983397506623,0.6715232532781348,2.1999999999999997,At Risk,0.0,0.21739130434782608,0.0
U0028,paid,3,Core Feature Fans,0.33815555794149194,0.46760187040748163,0.0,1.0,0.4945681625423131,0.6609364524691475,2.1999999999999997,At Risk,0.46153846153846156,0.3076923076923077,0.5
U0029,trial,2,Casual Solo Users,0.2194451134519706,0.6513026052104208,0.0,1.0,0.7659093467834546,0.4981201659713709,2.2,At Risk,0.0,0.047058823529411764,0.5
U0030,paid,1,Social Gamifiers,0.5260629798660593,0.7625250501002004,1.0,1.0,0.4475437766919607,0.3226600844207899,2.9,Needs Attention,1.2093023255813953,0.011627906976744186,1.0
U0031,trial,2,Casual Solo Users,0.33407719909029404,0.4515698062792251,0.0,1.0,0.30737504972491797,0.7570004890564619,2.5,Needs Attention,3.7142857142857144,0.7142857142857143,0.5
U0032,trial,2,Casual Solo Users,0.3531875321520002,0.447561790247161,0.0,1.0,0.29625092882394005,0.7200023743258213,2.6,Needs Attention,3.142857142857143,0.2857142857142857,0.5
U0033,inactive,3,Core Feature Fans,0.4185176490744787,0.04943219772879092,0.0,0.0,0.3749003625227984,0.4169745169382916,1.4000000000000001,Lost,0.5569620253164557,0.012658227848101266,0.0
U0034,inactive,4,Engaged Socialites,0.23625425762884275,0.40313961255845027,1.0,0.0,0.25894485600414313,0.8156942539333326,3.3000000000000003,Promising,4.285714285714286,0.7142857142857143,0.5
U0035,churned,2,Casual Solo Users,0.1826985760988952,0.37040748162992654,0.0,1.0,0.10037002844640593,0.8563383011491735,2.3,At Risk,1.7777777777777777,0.1111111111111111,0.5
U0036,trial,2,Casual Solo Users,0.3046439645244799,0.551436205744823,0.0,1.0,0.4941328349583061,0.6087029829874397,2.2,At Risk,0.6875,0.0625,0.5
U0037,trial,1,Social Gamifiers,0.3000599376810245,0.9923179692718772,1.0,1.0,0.6915689056014651,0.5093257395190449,2.2,At Risk,0.16666666666666666,0.041666666666666664,1.0
U0038,paid,1,Social Gamifiers,0.3409331887334384,0.8453573814295258,1.0,1.0,0.5625858458490014,0.5316102995258944,3.5,Potential Loyalist,0.4067796610169492,0.0847457627118644,1.0
