template_id,segment_id,lifecycle_stage,goal,theme,notification_window,total_sends,total_opens,total_engagements,ctr,engagement_rate,uninstall_rate
TPL_0006,0,churned,re_engagement,epic_meaning,mid_morning,1000,62,30,0.062,0.4898,0.0243
TPL_0001,0,churned,re_engagement,unpredictability,evening,500,21,6,0.042,0.3296,0.014
TPL_0016,0,inactive,activation,epic_meaning,early_morning,1000,243,125,0.243,0.5162,0.0093
TPL_0011,0,inactive,activation,unpredictability,mid_morning,1000,162,65,0.162,0.4058,0.0013
TPL_0026,0,paid,advocacy,epic_meaning,late_afternoon,200,28,8,0.14,0.2999,0.0028
TPL_0021,0,paid,advocacy,unpredictability,mid_morning,500,53,31,0.106,0.5916,0.0192
TPL_0036,0,paid,deepening,epic_meaning,afternoon,500,88,28,0.176,0.3252,0.0015
TPL_0031,0,paid,deepening,unpredictability,late_afternoon,800,119,34,0.1487,0.2927,0.0016
TPL_0046,0,paid,expansion,epic_meaning,evening,800,60,26,0.075,0.4416,0.0248
TPL_0041,0,paid,expansion,unpredictability,early_morning,200,15,6,0.075,0.4313,0.0132
TPL_0056,0,paid,retention,epic_meaning,night,300,45,5,0.15,0.1157,0.0338
TPL_0051,0,paid,retention,unpredictability,mid_morning,300,33,18,0.11,0.5633,0.0294
TPL_0066,0,trial,activation,epic_meaning,night,800,24,6,0.03,0.2627,0.0162
TPL_0061,0,trial,activation,unpredictability,evening,1000,154,89,0.154,0.5826,0.0247
TPL_0076,0,trial,conversion_readiness,epic_meaning,afternoon,200,17,3,0.085,0.1826,0.0016
TPL_0071,0,trial,conversion_readiness,unpredictability,late_afternoon,200,13,1,0.065,0.1028,0.0328
TPL_0086,0,trial,feature_discovery,epic_meaning,late_afternoon,500,100,40,0.2,0.403,0.0371
TPL_0081,0,trial,feature_discovery,unpredictability,evening,200,46,24,0.23,0.525,0.0185
TPL_0096,0,trial,habit_formation,epic_meaning,late_afternoon,1000,187,78,0.187,0.4188,0.0356
TPL_0091,0,trial,habit_formation,unpredictability,late_afternoon,500,23,10,0.046,0.4566,0.0307
TPL_0101,1,churned,re_engagement,loss_avoidance,evening,500,70,21,0.14,0.3138,0.002
TPL_0106,1,churned,re_engagement,scarcity,afternoon,500,13,5,0.026,0.4182,0.0133
TPL_0111,1,inactive,activation,loss_avoidance,mid_morning,1000,77,23,0.077,0.3052,0.0305
TPL_0116,1,inactive,activation,scarcity,mid_morning,1000,37,9,0.037,0.2449,0.0073
TPL_0121,1,paid,advocacy,loss_avoidance,evening,300,61,25,0.2033,0.4167,0.035
TPL_0126,1,paid,advocacy,scarcity,mid_morning,800,50,27,0.0625,0.5463,0.022
TPL_0131,1,paid,deepening,loss_avoidance,evening,800,81,44,0.1013,0.5534,0.0116
TPL_0136,1,paid,deepening,scarcity,early_morning,200,41,21,0.205,0.5304,0.0013
TPL_0141,1,paid,expansion,loss_avoidance,early_morning,200,26,11,0.13,0.4462,0.0115
TPL_0146,1,paid,expansion,scarcity,early_morning,200,22,2,0.11,0.1324,0.0109
TPL_0151,1,paid,retention,loss_avoidance,mid_morning,300,55,9,0.1833,0.174,0.0399
TPL_0156,1,paid,retention,scarcity,early_morning,200,48,14,0.24,0.3055,0.0023
TPL_0161,1,trial,activation,loss_avoidance,late_afternoon,200,15,2,0.075,0.1724,0.0201
